city,state,avg_monthly_rent,avg_annual_income,avg_monthly_income,avg_rent_burden,zip_count,rent_burden_percent,affordability_category
Anna,TX,1956.111405835544,116510.8974183202,9709.241451526685,0.5492835159233703,6,54.92835159233703,Severely Burdened
Annandale,VA,2392.7622863247866,116253.30162419255,9687.775135349379,0.7613186102164037,6,76.13186102164036,Severely Burdened
Annapolis,MD,2426.7032244551824,153767.82440908896,12813.98536742408,0.6051001501236646,17,60.51001501236646,Severely Burdened
Anniston,AL,987.5,144536.46810451685,12044.705675376405,0.27761678675701024,6,27.761678675701024,Affordable
Annville,PA,1375.0,121948.04199539493,10162.336832949579,0.42951492112812106,6,42.951492112812105,Burdened
Ansonia,CT,1770.4166666666667,103675.50731601998,8639.625609668334,0.5046848667370137,6,50.46848667370137,Severely Burdened
Antelope,CA,2323.722222222222,104859.14263310144,8738.261886091786,0.6653258927348523,6,66.53258927348523,Severely Burdened
Anthem,AZ,2199.438034188034,123329.95850774467,10277.496542312057,0.6500847409880214,6,65.00847409880214,Severely Burdened
Antigo,WI,995.0,128957.48342842695,10746.456952368912,0.3016618225592974,6,30.16618225592974,Borderline
Antioch,CA,2816.5226625226624,111746.24483100451,9312.187069250376,0.6056649954823073,11,60.56649954823074,Severely Burdened
Antioch,IL,2302.5,115188.67843633557,9599.056536361299,0.7013977985272385,6,70.13977985272385,Severely Burdened
Apache Junction,AZ,1692.6333333333332,118449.33899601518,9870.77824966793,0.4827094814810154,12,48.27094814810154,Burdened
Apex,NC,1977.3176765700762,118725.27014781136,9893.772512317613,0.6090367127078135,18,60.903671270781345,Severely Burdened
Apollo Beach,FL,2205.5378917378916,129132.04393583401,10761.003661319499,0.6283994969090851,6,62.83994969090851,Severely Burdened
Apopka,FL,2098.6150121908745,120987.76584161985,10082.313820134987,0.5867566510501517,12,58.67566510501517,Severely Burdened
Apple Valley,CA,1906.3277777777778,120600.98943531942,10050.082452943285,0.5407411784632395,12,54.07411784632396,Severely Burdened
Apple Valley,MN,2011.247342995169,114434.86560745635,9536.23880062136,0.599837496054982,6,59.983749605498204,Severely Burdened
Appleton,WI,1336.9972222222223,136157.41102026546,11346.450918355455,0.39172326125177076,24,39.17232612517708,Borderline
Aptos,CA,4423.61111111111,162407.51233629597,13533.959361357998,0.6732221184980037,5,67.32221184980037,Severely Burdened
Aransas Pass,TX,1650.0,117737.089982874,9811.4241652395,0.4724695638171199,6,47.24695638171199,Burdened
Arcadia,CA,3414.9107142857147,171539.64805171022,14294.97067097585,0.524344316695232,10,52.43443166952319,Severely Burdened
Arcata,CA,1548.5555555555557,116116.4482112965,9676.37068427471,0.4453957519984523,6,44.53957519984523,Burdened
Archdale,NC,1295.1,118480.63265363376,9873.38605446948,0.3671053478355682,6,36.71053478355682,Borderline
Arden,NC,1566.452508361204,135641.02076152468,11303.418396793722,0.4468404635891312,6,44.68404635891312,Burdened
Ardmore,OK,1276.388888888889,142158.56259806152,11846.546883171794,0.36467016576882566,6,36.467016576882564,Borderline
Ardmore,PA,2375.4166666666665,148940.9858631368,12411.748821928066,0.7221325230580543,6,72.21325230580543,Severely Burdened
Argyle,TX,2847.1845238095243,165911.1957255458,13825.932977128814,0.43451381938340117,5,43.45138193834012,Burdened
Arlington,MA,2930.98660192147,152749.52111516663,12729.126759597219,0.4452375409797288,10,44.523754097972876,Burdened
Arlington,TX,1728.3591238217798,126067.71945719383,10505.643288099485,0.48250423250477814,66,48.250423250477816,Burdened
Arlington,VA,2769.3464776187616,143988.87192720437,11999.072660600365,0.6941595468384896,57,69.41595468384895,Severely Burdened
Arlington,WA,2163.9951566951568,112906.91325903549,9408.909438252957,0.6217558510312197,6,62.17558510312197,Severely Burdened
